"hgnc	hallmarks_of_aging"
"PIN1"	"'transcriptional alterations'"
"PTEN"	"'senescent cells accumulation','intercellular communication impairment'"
"CREBBP"	"'alterations in histone modifications','transcriptional alterations'"
"HIF1A"	"'transcriptional alterations','TOR pathway dysregulation'"
"RPA1"	"'nuclear DNA instability','telomere attrition'"
"BLM"	"'nuclear DNA instability','telomere attrition'"
"BCL2"	"'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','stem cell exhaustion','intercellular communication impairment'"
"S100B"	""
"VCP"	"'nuclear DNA instability','degradation of proteolytic systems','disabled macroautophagy'"
"POLG"	""
"IGFBP3"	"'INS/IGF-1 pathway dysregulation'"
"HSP90AA1"	"'nuclear DNA instability','telomere attrition','impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'"
"NR3C1"	"'transcriptional alterations','sterile inflammation','intercellular communication impairment'"
"EGR1"	"'transcriptional alterations'"
"VEGFA"	"'transcriptional alterations'"
"BRCA2"	"'nuclear DNA instability','telomere attrition','alterations in histone modifications','senescent cells accumulation'"
"TOP2B"	"'nuclear DNA instability'"
"NFKB1"	"'transcriptional alterations','sterile inflammation'"
"TOP1"	"'nuclear DNA instability','chromatin remodeling'"
"RAD51"	"'nuclear DNA instability','telomere attrition','alterations in histone modifications'"
"TNF"	"'transcriptional alterations','sterile inflammation'"
"CEBPA"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'"
"CEBPB"	"'transcriptional alterations','sterile inflammation'"
"MXI1"	"'transcriptional alterations'"
"TGFB1"	"'transcriptional alterations','degradation of proteolytic systems','sterile inflammation','changes in the extracellular matrix structure'"
"ERCC6"	""
"EP300"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations'"
"PML"	"'nuclear architecture impairment','degradation of proteolytic systems','senescent cells accumulation'"
"GSK3B"	"'degradation of proteolytic systems','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis'"
"HTT"	""
"PRKCA"	"'nuclear architecture impairment','alterations in histone modifications'"
"SSTR3"	"'intercellular communication impairment'"
"HELLS"	"'chromatin remodeling','alterations in DNA methylation'"
"APOC3"	""
"EEF2"	""
"ERCC3"	"'nuclear DNA instability','transcriptional alterations'"
"TERF1"	"'nuclear DNA instability','telomere attrition'"
"PRKDC"	"'nuclear DNA instability','telomere attrition','transcriptional alterations'"
"CAT"	"'accumulation of reactive oxygen species'"
"ERCC5"	"'nuclear DNA instability'"
"AR"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'"
"XRCC5"	"'nuclear DNA instability','telomere attrition','stem cell exhaustion'"
"PCNA"	"'nuclear DNA instability','telomere attrition','transcriptional alterations'"
"FEN1"	"'nuclear DNA instability','telomere attrition'"
"FAS"	"'intercellular communication impairment'"
"TERF2"	"'nuclear DNA instability','telomere attrition','senescent cells accumulation'"
"XRCC6"	"'nuclear DNA instability','telomere attrition','transcriptional alterations'"
"POLD1"	"'nuclear DNA instability'"
"BAX"	"'impairment of the mitochondrial integrity and biogenesis'"
"RB1"	"'chromatin remodeling','transcriptional alterations'"
"FOXO3"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','stem cell exhaustion','intercellular communication impairment'"
"FOXO1"	"'nuclear DNA instability','transcriptional alterations','INS/IGF-1 pathway dysregulation','stem cell exhaustion','intercellular communication impairment','disabled macroautophagy'"
"HSF1"	"'nuclear DNA instability','transcriptional alterations'"
"XPA"	"'nuclear DNA instability'"
"MSRA"	"'accumulation of reactive oxygen species'"
"RECQL4"	"'nuclear DNA instability','telomere attrition'"
"SOD2"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"SOD1"	"'accumulation of reactive oxygen species'"
"FOXM1"	"'nuclear DNA instability','transcriptional alterations'"
"COQ7"	"'accumulation of reactive oxygen species'"
"CACNA1A"	"'intercellular communication impairment'"
"LRP2"	"'INS/IGF-1 pathway dysregulation'"
"AIFM1"	"'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'"
"UCHL1"	"'degradation of proteolytic systems','intercellular communication impairment'"
"APP"	"'transcriptional alterations'"
"APOE"	"'intercellular communication impairment'"
"A2M"	"'stem cell exhaustion','sterile inflammation'"
"SNCG"	"'intercellular communication impairment'"
"PRDX1"	"'accumulation of reactive oxygen species'"
"PON1"	""
"RELA"	"'transcriptional alterations','sterile inflammation'"
"IL6"	"'transcriptional alterations','sterile inflammation'"
"RGN"	""
"ATP5PO"	""
"RAD52"	"'nuclear DNA instability'"
"TOP3B"	"'nuclear DNA instability'"
"ERCC1"	"'nuclear DNA instability','telomere attrition','senescent cells accumulation'"
"SIRT1"	"'nuclear DNA instability','alterations in histone modifications','chromatin remodeling','transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','AMPK pathway dysregulation','senescent cells accumulation','intercellular communication impairment'"
"HDAC1"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations'"
"HSPA9"	"'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'"
"GPX1"	"'accumulation of reactive oxygen species'"
"GSR"	"'accumulation of reactive oxygen species'"
"GSS"	""
"GSTA4"	""
"GSTP1"	"'accumulation of reactive oxygen species'"
"MT-CO1"	"'accumulation of reactive oxygen species'"
"HSPD1"	"'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'"
"HSPA1A"	""
"HSPA1B"	""
"PCMT1"	""
"MAPK8"	"'impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation','intercellular communication impairment'"
"YWHAZ"	"'transcriptional alterations'"
"PTK2"	""
"IL7"	"'intercellular communication impairment'"
"MAPK14"	"'transcriptional alterations','senescent cells accumulation','stem cell exhaustion'"
"FGFR1"	""
"SP1"	"'transcriptional alterations','intercellular communication impairment'"
"FLT1"	""
"JUN"	"'transcriptional alterations'"
"MAPK9"	"'senescent cells accumulation'"
"MAPK3"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'"
"HMGB1"	"'nuclear DNA instability','chromatin remodeling','transcriptional alterations','sterile inflammation','disabled macroautophagy'"
"HMGB2"	"'nuclear DNA instability','nuclear architecture impairment','chromatin remodeling','transcriptional alterations','sterile inflammation'"
"MAP3K5"	"'senescent cells accumulation','intercellular communication impairment'"
"LMNB1"	"'nuclear architecture impairment','chromatin remodeling'"
"SDHC"	"'accumulation of reactive oxygen species'"
"FOXO4"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation','stem cell exhaustion'"
"PIK3R1"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation'"
"BSCL2"	""
"BMI1"	"'alterations in histone modifications','transcriptional alterations','alterations in DNA methylation','stem cell exhaustion'"
"EEF1A1"	""
"TFAP2A"	"'transcriptional alterations'"
"BDNF"	""
"CREB1"	"'transcriptional alterations'"
"ATF2"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'"
"TBP"	"'transcriptional alterations'"
"APEX1"	"'nuclear DNA instability','telomere attrition','transcriptional alterations','accumulation of reactive oxygen species'"
"HBP1"	"'transcriptional alterations'"
"BUB1B"	"'nuclear DNA instability'"
"PTGS2"	"'accumulation of reactive oxygen species','sterile inflammation'"
"HSPA8"	"'impairment of proteins folding and stability','intercellular communication impairment'"
"SIN3A"	"'alterations in histone modifications','transcriptional alterations'"
"TFDP1"	"'transcriptional alterations'"
"DDIT3"	"'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems','accumulation of reactive oxygen species'"
"POLA1"	"'nuclear DNA instability'"
"MAPT"	"'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'"
"CTGF"	"'INS/IGF-1 pathway dysregulation','accumulation of reactive oxygen species','changes in the extracellular matrix structure'"
"HDAC2"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations'"
"MAX"	"'transcriptional alterations','intercellular communication impairment'"
"MXD1"	"'transcriptional alterations'"
"MDM2"	"'transcriptional alterations','degradation of proteolytic systems'"
"SUMO1"	"'nuclear DNA instability','nuclear architecture impairment'"
"HOXB7"	"'transcriptional alterations'"
"HOXC4"	"'transcriptional alterations'"
"JAK2"	"'alterations in histone modifications','transcriptional alterations'"
"ESR1"	"'chromatin remodeling','transcriptional alterations','stem cell exhaustion'"
"LEP"	"'transcriptional alterations','TOR pathway dysregulation','intercellular communication impairment'"
"LEPR"	""
"NFKBIA"	"'transcriptional alterations','sterile inflammation'"
"CLU"	"'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'"
"MTOR"	"'nuclear DNA instability','TOR pathway dysregulation','sterile inflammation','intercellular communication impairment'"
"GHRHR"	"'INS/IGF-1 pathway dysregulation'"
"CTNNB1"	"'transcriptional alterations','degradation of proteolytic systems','stem cell exhaustion','sterile inflammation','intercellular communication impairment'"
"PSEN1"	"'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems','disabled macroautophagy'"
"CDKN2A"	""
"PPP1CA"	""
"DBN1"	"'intercellular communication impairment'"
"NOG"	"'transcriptional alterations','stem cell exhaustion'"
"ELN"	"'changes in the extracellular matrix structure'"
"ATR"	"'nuclear DNA instability','telomere attrition','senescent cells accumulation'"
"UCP3"	""
"ZMPSTE24"	"'nuclear DNA instability','nuclear architecture impairment','alterations in histone modifications','alterations in DNA methylation','degradation of proteolytic systems','TOR pathway dysregulation','AMPK pathway dysregulation','senescent cells accumulation'"
"TP63"	"'chromatin remodeling','transcriptional alterations','senescent cells accumulation','stem cell exhaustion','intercellular communication impairment'"
"UCP2"	"'intercellular communication impairment'"
"POLB"	"'nuclear DNA instability','sterile inflammation'"
"GCLC"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"GCLM"	"'impairment of the mitochondrial integrity and biogenesis'"
"SIRT6"	"'nuclear DNA instability','alterations in histone modifications','chromatin remodeling','transcriptional alterations','senescent cells accumulation'"
"BUB3"	""
"RAE1"	"'nuclear DNA instability'"
"PMCH"	"'intercellular communication impairment'"
"MLH1"	"'nuclear DNA instability'"
"CSNK1E"	"'nuclear DNA instability'"
"STUB1"	"'nuclear DNA instability','degradation of proteolytic systems'"
"PPM1D"	"'chromatin remodeling','alterations in DNA methylation','intercellular communication impairment'"
"PCK1"	"'intercellular communication impairment'"
"ARHGAP1"	""
"CDC42"	""
"BMAL1"	"'transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','senescent cells accumulation'"
"CLOCK"	"'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'"
"HIC1"	"'transcriptional alterations'"
"PAPPA"	"'degradation of proteolytic systems'"
"ADCY5"	""
"PPARGC1A"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'"
"GPX4"	"'accumulation of reactive oxygen species'"
"UCP1"	"'transcriptional alterations'"
"FGF23"	"'intercellular communication impairment'"
"EFEMP1"	"'changes in the extracellular matrix structure'"
"ERCC4"	"'nuclear DNA instability','telomere attrition'"
"CETP"	""
"PPARG"	"'transcriptional alterations'"
"AGTR1"	"'sterile inflammation'"
"CISD2"	"'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"EEF1E1"	"'senescent cells accumulation'"
"EPS8"	""
"KCNA3"	""
"SIRT7"	"'nuclear DNA instability','alterations in histone modifications','chromatin remodeling','transcriptional alterations'"
"SLC13A1"	""
"SOCS2"	"'INS/IGF-1 pathway dysregulation'"
"TPP2"	"'degradation of proteolytic systems'"
"TP53BP1"	"'nuclear DNA instability','transcriptional alterations'"
"SIRT3"	"'alterations in histone modifications'"
"NCOR2"	"'transcriptional alterations'"
"SUN1"	"'nuclear DNA instability','nuclear architecture impairment'"
"BAK1"	"'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'"
"IGFBP2"	"'INS/IGF-1 pathway dysregulation'"
"PYCR1"	"'accumulation of reactive oxygen species'"
"TP73"	"'nuclear DNA instability','transcriptional alterations'"
"CNR1"	"'intercellular communication impairment'"
"NFE2L2"	"'transcriptional alterations','degradation of proteolytic systems','accumulation of reactive oxygen species','sterile inflammation','intercellular communication impairment'"
"CDKN1A"	"'nuclear DNA instability','senescent cells accumulation','intercellular communication impairment'"
"PDGFRA"	""
"PIK3CA"	"'alterations in DNA methylation','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation'"
"C1QA"	"'intercellular communication impairment'"
"CDKN2B"	"'senescent cells accumulation','intercellular communication impairment'"
"EIF5A2"	""
"MIF"	"'senescent cells accumulation','sterile inflammation'"
"DGAT1"	""
"MT1E"	""
"FGF21"	"'intercellular communication impairment'"
"HTRA2"	"'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'"
"GSK3A"	"'transcriptional alterations','alterations in DNA methylation','degradation of proteolytic systems','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis'"
"NUDT1"	"'nuclear DNA instability','intercellular communication impairment'"
"IKBKB"	"'transcriptional alterations','sterile inflammation'"
"SQSTM1"	"'transcriptional alterations','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"CDK7"	"'nuclear DNA instability','transcriptional alterations'"
"GRN"	""
"SERPINE1"	"'senescent cells accumulation'"
"SPRTN"	"'nuclear DNA instability','degradation of proteolytic systems'"
"RICTOR"	"'TOR pathway dysregulation','intercellular communication impairment'"
"CTF1"	"'intercellular communication impairment'"
"TRAP1"	"'impairment of proteins folding and stability'"
"TRPV1"	"'transcriptional alterations','sterile inflammation'"
"NFE2L1"	"'transcriptional alterations'"
"GDF11"	""
"ACE2"	"'degradation of proteolytic systems'"
"NAMPT"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'"
"ALB"	"'intercellular communication impairment'"
"PLAGL1"	"'transcriptional alterations'"
"GADD45A"	"'nuclear DNA instability','transcriptional alterations'"
"DDIT4"	"'TOR pathway dysregulation','accumulation of reactive oxygen species'"
"PERP"	"'degradation of proteolytic systems'"
"DUSP10"	""
"MT-RNR1"	""
"IFNAR1"	""
"HPGD"	"'accumulation of reactive oxygen species'"
"CASP1"	"'degradation of proteolytic systems'"
"IFNG"	"'transcriptional alterations','sterile inflammation'"
"BCL2L2"	"'impairment of the mitochondrial integrity and biogenesis'"
"IL15"	"'sterile inflammation','intercellular communication impairment'"
"IL15RA"	""
"TGFBR1"	""
"COL2A1"	"'changes in the extracellular matrix structure'"
"ADIPOQ"	"'AMPK pathway dysregulation','changes in the extracellular matrix structure'"
"NLRP3"	"'transcriptional alterations','sterile inflammation'"
"B3GAT1"	""
"TJP2"	""
"RALB"	"'intercellular communication impairment'"
"ME3"	"'accumulation of reactive oxygen species'"
"CPNE1"	"'degradation of proteolytic systems'"
"SCN3A"	""
"RGS20"	""
"C1QB"	""
"BEX3"	""
"CAPG"	"'changes in the extracellular matrix structure'"
"NIPSNAP1"	""
"ZFAND2A"	"'degradation of proteolytic systems'"
"ELMO1"	""
"DLK2"	""
"BCL6"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','senescent cells accumulation','sterile inflammation'"
"ZC3HAV1"	""
"ABI2"	""
"ADAMTS20"	"'degradation of proteolytic systems'"
"TUBB6"	""
"LAIR1"	""
"ZFYVE9"	""
"SLC16A14"	""
"U2AF1"	""
"CETN3"	""
"GRSF1"	""
"MXRA8"	""
"ANK2"	"'intercellular communication impairment'"
"ENTPD3"	""
"CYC1"	"'accumulation of reactive oxygen species'"
"LGI4"	""
"GPCPD1"	""
"OPN3"	""
"PPM1H"	""
"BECN1"	"'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment','disabled macroautophagy'"
"MAPRE2"	""
"MRPS25"	"'impairment of the mitochondrial integrity and biogenesis'"
"BAD"	"'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'"
"SNAI2"	"'transcriptional alterations'"
"SLC2A13"	""
"SRSF5"	""
"HSD17B7"	"'accumulation of reactive oxygen species'"
"COL1A1"	"'intercellular communication impairment','changes in the extracellular matrix structure'"
"COL1A2"	"'changes in the extracellular matrix structure'"
"COL3A1"	"'changes in the extracellular matrix structure'"
"COL4A1"	"'changes in the extracellular matrix structure'"
"COL4A2"	"'transcriptional alterations','changes in the extracellular matrix structure'"
"COL4A3"	"'changes in the extracellular matrix structure'"
"COL4A4"	"'changes in the extracellular matrix structure'"
"COL4A5"	"'changes in the extracellular matrix structure'"
"COL4A6"	"'changes in the extracellular matrix structure'"
"PDHB"	"'accumulation of reactive oxygen species'"
"DGKZ"	""
"FJX1"	"'intercellular communication impairment'"
"UROS"	""
"CHSY1"	""
"MZF1"	"'transcriptional alterations'"
"RGL1"	""
"NIPBL"	"'nuclear DNA instability','transcriptional alterations','stem cell exhaustion'"
"EGFL6"	""
"SNAI1"	"'chromatin remodeling','transcriptional alterations'"
"SMOC1"	""
"CSNK2A1"	"'impairment of proteins folding and stability'"
"CXCL8"	"'sterile inflammation'"
"MTHFR"	"'chromatin remodeling','accumulation of reactive oxygen species'"
"MTHFD1"	"'accumulation of reactive oxygen species'"
"MTRR"	"'alterations in DNA methylation','accumulation of reactive oxygen species'"
"MTR"	""
"FOLR1"	"'intercellular communication impairment'"
"FOLR2"	"'sterile inflammation','intercellular communication impairment'"
"FOLH1"	"'degradation of proteolytic systems'"
"FOLH1B"	"'degradation of proteolytic systems'"
"SLC19A1"	""
"HBA1"	"'accumulation of reactive oxygen species'"
"HBA2"	"'accumulation of reactive oxygen species'"
"HBB"	"'accumulation of reactive oxygen species'"
"AHSP"	""
"SUB1"	"'transcriptional alterations'"
"PCSK9"	"'degradation of proteolytic systems','intercellular communication impairment'"
"WNT4"	"'intercellular communication impairment'"
"CRP"	"'sterile inflammation'"
"CYBB"	"'accumulation of reactive oxygen species','sterile inflammation'"
"CYB5R3"	"'accumulation of reactive oxygen species'"
"CYGB"	"'accumulation of reactive oxygen species'"
"NOS3"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"NGB"	""
"DHFR"	"'accumulation of reactive oxygen species'"
"TYMS"	""
"CSF2"	""
"TGM2"	"'alterations in histone modifications','degradation of proteolytic systems'"
"LOX"	"'accumulation of reactive oxygen species','changes in the extracellular matrix structure'"
"FBN1"	"'changes in the extracellular matrix structure'"
"FBN2"	"'changes in the extracellular matrix structure'"
"FBLN1"	"'changes in the extracellular matrix structure'"
"EFEMP2"	"'changes in the extracellular matrix structure'"
"FBLN5"	"'changes in the extracellular matrix structure'"
"MMP1"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP3"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"WNT5B"	""
"WNT2"	"'transcriptional alterations','intercellular communication impairment'"
"WNT5A"	"'transcriptional alterations','intercellular communication impairment'"
"WNT2B"	"'intercellular communication impairment'"
"WNT11"	""
"WNT7B"	""
"WNT7A"	"'transcriptional alterations','stem cell exhaustion'"
"WNT9A"	""
"WNT10A"	"'stem cell exhaustion'"
"WNT16"	"'senescent cells accumulation'"
"WNT6"	"'intercellular communication impairment'"
"WNT1"	"'transcriptional alterations','degradation of proteolytic systems','INS/IGF-1 pathway dysregulation','senescent cells accumulation','intercellular communication impairment'"
"WNT3"	""
"WNT3A"	"'transcriptional alterations','stem cell exhaustion'"
"DVL2"	"'transcriptional alterations'"
"FZD2"	""
"FZD3"	""
"LEF1"	"'alterations in histone modifications','transcriptional alterations'"
"SFRP1"	"'stem cell exhaustion','intercellular communication impairment'"
"FRZB"	"'stem cell exhaustion'"
"CCND1"	"'nuclear DNA instability','transcriptional alterations'"
"CCND2"	""
"DIXDC1"	""
"PORCN"	""
"FZD8"	""
"SFRP2"	"'transcriptional alterations','intercellular communication impairment'"
"APC"	"'nuclear DNA instability','degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'"
"BTRC"	"'degradation of proteolytic systems'"
"WIF1"	""
"CCN4"	"'intercellular communication impairment'"
"TLE1"	""
"SIRT2"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','degradation of proteolytic systems','disabled macroautophagy'"
"SPP1"	"'sterile inflammation'"
"MMP9"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP2"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP7"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP12"	"'transcriptional alterations','degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP13"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP14"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP16"	"'degradation of proteolytic systems'"
"MMP17"	"'degradation of proteolytic systems'"
"BIRC5"	""
"MARK1"	""
"MRPL15"	"'impairment of the mitochondrial integrity and biogenesis'"
"MKKS"	""
"MICOS13"	"'impairment of the mitochondrial integrity and biogenesis'"
"TGFBR3"	""
"CYB561"	"'accumulation of reactive oxygen species'"
"HCCS"	""
"DDX24"	""
"MRPS33"	"'impairment of the mitochondrial integrity and biogenesis'"
"TIMP1"	""
"VLDLR"	""
"ACOT8"	""
"CAMTA1"	"'transcriptional alterations'"
"IL33"	"'transcriptional alterations'"
"INHBB"	"'intercellular communication impairment'"
"COX4I1"	"'accumulation of reactive oxygen species'"
"PTPN3"	""
"LPP"	""
"PPP3R1"	"'transcriptional alterations'"
"SNED1"	""
"IMMT"	"'impairment of the mitochondrial integrity and biogenesis'"
"ARPC5L"	""
"CFLAR"	"'degradation of proteolytic systems'"
"NECAB3"	""
"AUH"	""
"USP54"	"'degradation of proteolytic systems'"
"ANP32B"	"'chromatin remodeling'"
"SERTAD2"	""
"ST8SIA5"	""
"ALDH4A1"	"'accumulation of reactive oxygen species'"
"EPC1"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'"
"ZHX2"	"'transcriptional alterations','stem cell exhaustion'"
"USE1"	""
"RTCA"	""
"DAZAP1"	""
"PTGR1"	"'accumulation of reactive oxygen species'"
"TPD52L2"	""
"GOT2"	""
"PLIN3"	"'intercellular communication impairment'"
"RNF114"	"'degradation of proteolytic systems'"
"RIN3"	""
"TRIB2"	""
"WDR77"	"'alterations in histone modifications','transcriptional alterations'"
"TSPAN5"	""
"NDUFA9"	"'accumulation of reactive oxygen species'"
"UPF3A"	""
"DYNC1I1"	""
"MRPS12"	"'impairment of the mitochondrial integrity and biogenesis'"
"RAP2A"	""
"MOCS2"	""
"BCS1L"	"'impairment of the mitochondrial integrity and biogenesis'"
"CEP350"	""
"AKAP7"	""
"DLAT"	"'accumulation of reactive oxygen species'"
"RING1"	"'alterations in histone modifications','chromatin remodeling'"
"LST1"	""
"STK25"	""
"ITPR2"	""
"PANK4"	""
"RBPJ"	"'transcriptional alterations','stem cell exhaustion','sterile inflammation'"
"ISCA1"	""
"NDUFS2"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"SNRNP70"	""
"AVL9"	""
"CARHSP1"	""
"UQCRC1"	"'accumulation of reactive oxygen species'"
"SF3B2"	""
"FANCG"	"'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'"
"SLC25A11"	""
"NDC1"	"'nuclear DNA instability','nuclear architecture impairment'"
"NDUFV3"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"POLR3K"	"'nuclear DNA instability','transcriptional alterations'"
"IGF2R"	"'INS/IGF-1 pathway dysregulation'"
"PMP22"	"'intercellular communication impairment'"
"NTMT1"	"'alterations in histone modifications'"
"MTMR2"	""
"CMAS"	""
"AKAP13"	"'AMPK pathway dysregulation'"
"YAP1"	"'nuclear DNA instability','transcriptional alterations','stem cell exhaustion'"
"C3"	"'sterile inflammation'"
"ITGA2"	""
"MYOF"	""
"RPS6KC1"	""
"UQCRB"	""
"RYR1"	""
"BAZ2A"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'"
"ROGDI"	""
"LGALS1"	""
"MOSPD1"	"'transcriptional alterations'"
